# 治法词 → 功效词 的同义映射。R32 建，R34 的 `effect_matches_method` 规则靠它判。
#
# ## 这张表回答的是哪个问题
#
# 「治法」和「功效」在中医文献里是**两套措辞**：S3 的 `method` 写的是治法
# （「疏肝理气」「温中散寒」），而本草条目的功效写的是功效词
# （「疏肝解郁」「理气宽中」「温中止呕」）。裸子串比这两者，大部分正确的药会被
# 判成"功效跟治法对不上"——那条规则就会变成恒假，等于没有验证。
#
# **这张表不是同义词表的第二份实现。** `core/syndrome_norm.py::SYNONYMS` 回答的是
# 「这个词属于哪个证候门类」（腹泻/泄泻 → 泄泻门），本表回答的是
# 「这个治法对应哪些功效表述」。两张表合并的话，改一边看不出会不会连带影响另一边
# ——CLAUDE.md 第 31 条的例外条款要求把两个问题的区别写清楚，这一段就是。
#
# ## 列
#
#   治法\t功效词（逗号分隔，至少一个）\t来源
#
# 来源只有两种取值，**必须分开**：
#   textbook  ——《中医内科学》《方剂学》《中药学》里能找到对应表述的
#   common    ——中医常识层面的同义（「行气」≈「理气」），没有逐条核到具体教材页
# 分开的理由跟 `data/SOURCES.md` 里 DOSE_LIMITS 的做法一样：
# 一份表里混着"核过的"和"没核的"，整份表的可信度就只能按最低那条算。
#
# ## 双向
#
# 查询是双向的：给治法查功效词，给功效词也能反查治法（见 core/effect_synonyms.py）。
治法	功效词	来源
疏肝理气	疏肝,理气,行气,解郁,疏肝解郁,疏肝行气,调气	textbook
疏肝解郁	疏肝,解郁,理气,开郁	textbook
温中散寒	温中,散寒,温里,祛寒,温胃,暖胃	textbook
温中健脾	温中,健脾,温运,补脾,益气健脾	textbook
健脾益气	健脾,益气,补气,补中,益胃,补脾	textbook
益气养血	益气,养血,补气,补血,气血双补	textbook
健脾和胃	健脾,和胃,和中,调中,醒脾	textbook
和胃降逆	和胃,降逆,降气,止呕,止呃,降胃气	textbook
理气和胃	理气,和胃,行气,宽中,调气	textbook
清热解毒	清热,解毒,泻火,清解	textbook
清热燥湿	清热,燥湿,清利湿热,苦寒燥湿	textbook
清热化痰	清热,化痰,清化热痰,豁痰	textbook
清肝泻火	清肝,泻火,平肝,清热泻肝,泻肝	textbook
清胃泻火	清胃,泻火,清热,泻胃火	textbook
滋阴清热	滋阴,清热,养阴,清虚热,退虚热	textbook
养阴生津	养阴,生津,滋阴,润燥,益胃生津	textbook
益胃生津	益胃,生津,养阴,滋养胃阴	textbook
润肺止咳	润肺,止咳,清肺,润燥,养阴润肺	textbook
宣肺止咳	宣肺,止咳,宣肺化痰,开宣肺气,止嗽	textbook
化痰止咳	化痰,止咳,祛痰,消痰	textbook
燥湿化痰	燥湿,化痰,理气化痰,健脾化痰	textbook
利水渗湿	利水,渗湿,利尿,利湿,淡渗	textbook
健脾利湿	健脾,利湿,利水,渗湿,化湿	textbook
芳香化湿	化湿,芳香化湿,醒脾,燥湿,辟秽	textbook
温阳利水	温阳,利水,温化水饮,化气行水	textbook
活血化瘀	活血,化瘀,祛瘀,散瘀,行血,通络	textbook
活血止痛	活血,止痛,散瘀止痛,行气止痛	textbook
行气止痛	行气,止痛,理气,疏肝止痛	textbook
补益肝肾	补肝,补肾,滋补肝肾,益精,填精	textbook
温补脾肾	温补,温肾,补脾,温阳,助阳	textbook
回阳救逆	回阳,救逆,温阳,散寒,补火助阳	textbook
补气固表	补气,固表,益卫,实卫,止汗	textbook
养心安神	养心,安神,宁心,定志,镇静	textbook
重镇安神	重镇,安神,镇心,潜阳,定惊	textbook
平肝潜阳	平肝,潜阳,息风,镇肝,清肝	textbook
息风止痉	息风,止痉,定惊,平肝息风,解痉	textbook
开窍醒神	开窍,醒神,豁痰开窍,芳香开窍,通窍	textbook
消食导滞	消食,导滞,消积,化滞,健胃	textbook
润肠通便	润肠,通便,泻下,通腑,滑肠	textbook
泻下攻积	泻下,攻积,攻下,荡涤,通腑	textbook
凉血止血	凉血,止血,清热止血,收敛止血	textbook
收敛固涩	收敛,固涩,涩肠,固精,敛汗	textbook
解表散寒	解表,散寒,发汗,辛温解表,祛风散寒	textbook
疏风清热	疏风,清热,辛凉解表,解表,散风	textbook
益气升阳	益气,升阳,升举,举陷,补中益气	textbook
软坚散结	软坚,散结,消瘿,化痰散结,消瘰	textbook
调和营卫	调和营卫,解肌,和营,调营	textbook
引经报使	引经,报使,调和诸药,载药上行	common
行气	理气,行气,调气,宽中,舒郁	common
止痛	止痛,定痛,缓急止痛,镇痛	common
止血	止血,收涩止血,化瘀止血	common
安神	安神,宁神,定志,助眠	common
